id;title;type;release_year;age_certification;runtime;genres;production_countries;seasons;imdb_id;imdb_score;imdb_votes;tmdb_popularity;tmdb_score
ts21567;Gilmore Girls;SHOW;2000;TV-14;46;['comedy', 'drama'];['US'];8.0;tt0238784;8.2;121462.0;58.578;7.827
tm116488;Natural Born Killers;MOVIE;1994;R;118;['thriller', 'drama', 'crime', 'action'];['US'];;tt0110632;7.3;11.0;21.933;7.1
tm11556;The Quick and the Dead;MOVIE;1995;R;107;['action', 'thriller', 'western', 'romance'];['JP', 'US'];;tt0114214;6.5;93767.0;13.056;6.5
tm56574;You've Got Mail;MOVIE;1998;PG;119;['comedy', 'romance', 'drama'];['US'];;tt0128853;6.7;211635.0;21.724;6.643
ts20960;Power Rangers;SHOW;1993;TV-Y7;22;['action', 'scifi', 'fantasy', 'family'];['US'];29.0;tt0106064;6.5;22110.0;19.699;6.8
tm53991;Big Daddy;MOVIE;1999;PG-13;93;['drama', 'comedy', 'european'];['US'];;tt0142342;6.4;215053.0;26.848;6.45
tm49178;Vampires;MOVIE;1998;R;104;['fantasy', 'action', 'horror', 'thriller'];['US'];;tt0120877;6.1;58670.0;10.108;6.3
ts25252;Yu-Gi-Oh!;SHOW;1998;TV-Y;22;['scifi', 'action', 'family', 'fantasy', 'animation', 'comedy', 'drama'];['JP'];7.0;tt4834194;7.3;21113.0;33.504;7.358
tm191989;Donnie Brasco;MOVIE;1997;R;127;['drama', 'thriller', 'crime'];['US'];;tt0119008;7.7;303868.0;22.225;7.5
ts22193;The Magic School Bus;SHOW;1994;TV-Y;26;['animation', 'scifi', 'comedy', 'family', 'fantasy'];['CA', 'US'];4.0;tt0108847;7.8;9829.0;16.83;7.8
ts22489;Goosebumps;SHOW;1995;TV-PG;22;['scifi', 'thriller', 'family', 'fantasy', 'horror', 'music'];['US', 'CA'];4.0;tt0111987;7.6;13493.0;63.687;7.9
ts21034;InuYasha;SHOW;2000;TV-14;25;['scifi', 'action', 'fantasy', 'romance', 'animation', 'comedy', 'drama'];['JP'];9.0;tt0290223;7.9;15823.0;62.355;8.6
tm121879;A River Runs Through It;MOVIE;1992;PG;123;['drama'];['US'];;tt0105265;7.2;59854.0;19.58;7.1
tm44402;Girl, Interrupted;MOVIE;1999;R;127;['drama', 'european'];['DE', 'US'];;tt0172493;7.3;183154.0;20.424;7.6
tm187187;Last Action Hero;MOVIE;1993;PG-13;131;['action', 'fantasy', 'comedy', 'family'];['US'];;tt0107362;6.4;150498.0;22.196;6.379
ts16919;All That;SHOW;1994;TV-G;22;['comedy', 'family', 'music'];['US'];11.0;tt0111875;7.5;7718.0;6.688;8.4
tm6859;My Girl;MOVIE;1991;PG;103;['drama', 'family', 'romance', 'comedy', 'european'];['US'];;tt0102492;6.9;80590.0;20.545;7.4
tm118238;Wyatt Earp;MOVIE;1994;PG-13;191;['western', 'crime', 'action', 'drama'];['US'];;tt0111756;6.7;50774.0;14.677;6.751
tm111163;Eraser;MOVIE;1996;R;115;['thriller', 'action', 'drama', 'crime'];['US', 'CA'];;tt0116213;6.1;110921.0;19.437;6.0
tm190835;Neon Genesis Evangelion: The End of Evangelion;MOVIE;1997;;87;['action', 'drama', 'animation', 'scifi', 'fantasy'];['JP'];;tt0169858;8.0;53152.0;32.569;8.4
tm192769;Vegas Vacation;MOVIE;1997;PG;94;['comedy'];['US'];;tt0120434;5.9;49377.0;12.537;6.1
tm187791;In the Line of Fire;MOVIE;1993;R;128;['drama', 'thriller', 'crime', 'action'];['US'];;tt0107206;7.2;102916.0;19.8;6.973
tm113576;Little Women;MOVIE;1994;PG;115;['drama', 'romance', 'family'];['US'];;tt0110367;7.3;58178.0;13.683;7.314
tm65686;U.S. Marshals;MOVIE;1998;PG-13;131;['thriller', 'crime', 'action'];['US'];;tt0120873;6.5;105286.0;24.205;6.5
ts8570;Barney & Friends;SHOW;1992;TV-G;28;['comedy', 'family'];['US'];14.0;tt0144701;3.8;9624.0;14.641;4.9
tm191387;Anaconda;MOVIE;1997;PG-13;89;['horror', 'thriller', 'action'];['PE', 'US', 'BR'];;tt0118615;4.8;104213.0;34.405;5.1
ts27693;Kenan & Kel;SHOW;1996;TV-Y7;25;['family', 'comedy'];['US'];4.0;tt0115231;7.8;15620.0;33.544;8.3
tm19494;The Replacements;MOVIE;2000;PG-13;118;['comedy', 'sport'];['US'];;tt0191397;6.6;64771.0;30.982;6.6
tm191772;Seven Years in Tibet;MOVIE;1997;PG-13;136;['action', 'drama', 'history', 'war'];['US'];;tt0120102;7.1;142903.0;13.766;7.2
tm12499;The Net;MOVIE;1995;PG-13;114;['thriller', 'action', 'crime', 'drama'];['US'];;tt0113957;5.9;66667.0;15.935;6.0
tm186589;Cliffhanger;MOVIE;1993;R;112;['action', 'thriller', 'comedy', 'animation'];['IT', 'US', 'FR'];;tt0106582;6.5;128972.0;27.78;6.5
tm189764;Menace II Society;MOVIE;1993;R;97;['drama', 'crime', 'thriller'];['US'];;tt0107554;7.5;58179.0;13.928;7.542
tm10739;Johnny Mnemonic;MOVIE;1995;R;97;['action', 'drama', 'scifi', 'thriller'];['CA', 'US'];;tt0113481;5.6;71563.0;10.75;5.7
tm1822;3 Ninjas Kick Back;MOVIE;1994;PG;93;['comedy', 'family', 'action', 'sport'];['JP', 'US'];;tt0109015;4.5;9321.0;12.603;5.5
tm55369;Edge of Seventeen;MOVIE;1998;R;104;['romance', 'drama', 'comedy'];['US'];;tt0138414;6.8;6549.0;6.276;6.5
ts251477;My First Errand;SHOW;1991;TV-G;18;['documentation', 'family', 'reality'];['JP'];12.0;;;;7.73;7.8
tm192431;The Devil's Own;MOVIE;1997;R;107;['crime', 'thriller', 'drama', 'action', 'european'];['US'];;tt0962637;6.2;65323.0;12.863;6.1
